#Nobs
100
#fishCounts
43 45 22 31 27
45 34 31 41 34
49 29 28 39 24
37 41 30 33 21
36 39 55 35 36
28 42 38 28 37
38 37 45 51 42
51 34 34 42 38
28 22 33 32 29
33 54 50 36 50
31 42 40 34 44
42 37 40 47 33
25 47 41 29 38
51 44 36 36 31
30 40 37 35 42
35 29 50 22 44
31 32 40 43 38
23 40 50 31 39
28 31 39 29 33
28 30 40 42 42
#fishMonth
6 5 4 4 6
6 4 5 6 6
5 4 6 5 4
4 5 4 4 4
5 5 5 6 6
4 5 5 5 5
5 5 6 5 5
6 5 6 6 5
6 4 4 6 6
6 6 5 6 5
4 5 5 5 5
6 6 6 5 6
4 5 5 4 5
6 5 6 6 6
4 6 6 6 5
4 4 5 4 5
4 4 5 5 6
4 5 5 4 6
4 4 4 4 6
4 6 5 4 5
